,Ticket #,Badge,Issue Date ,IssueTime,Plate,State,Make,Model,Violation, Description,Location,Meter, Fine ,Penalty,lat,lng
60,4120022824,837.0,2020-01-02,1400,ECV2764,MI,CHEV,,A45,OVER LEGAL TIME LIMIT,700 BLK OF WASHINGTO,,25.0,0.0,42.281419,-83.748478
61,4120022823,837.0,2020-01-02,1358,EDX7906,MI,FORD,,A45,OVER LEGAL TIME LIMIT,700 BLK OF WASHINGTO,,25.0,0.0,42.281419,-83.748478
62,4120022822,837.0,2020-01-02,1356,DNR2032,MI,FORD,,A04,NO PRKNG ANYTME,611 WASHINGTON WEST,,25.0,0.0,42.280715,-83.755513
63,4120022821,837.0,2020-01-02,1353,DNR1534,MI,TOYO,,A45,OVER LEGAL TIME LIMIT,600 BLK OF WASHINGTO,,25.0,0.0,42.281419,-83.748478
64,4120022820,837.0,2020-01-02,1348,CLA2402,MI,HOND,,A45,OVER LEGAL TIME LIMIT,600 BLK OF WASHINGTO,,25.0,0.0,42.281419,-83.748478
65,4120022819,837.0,2020-01-02,1341,1KNB44,MI,FORD,,A45,OVER LEGAL TIME LIMIT,500 BLK OF WASHINGTO,,35.0,20.0,42.281419,-83.748478
66,4090019502,822.0,2020-01-02,1409,DDENALI,MI,LINC,,A24,BACKED IN STALL,FOURTH AND CATHERINE,,35.0,0.0,39.390897,-99.066067
67,4030029169,836.0,2020-01-02,1059,CE56318,MI,FORD,,A01,EXPIRED METER,100 BLK OF WASHINGTO,2603,15.0,0.0,42.281419,-83.748478
68,4090019525,822.0,2020-01-02,1436,EAM4189,MI,CHEV,,A19,NO PERMIT CITY,COMMUNITY HIGH,6147,35.0,0.0,42.28395,-83.74433
69,4090019533,822.0,2020-01-02,1445,KIPPY87,MI,FORD,,A24,BACKED IN STALL,FARMER'S MARKET,11,25.0,0.0,42.284,-83.7462
70,4090019534,822.0,2020-01-02,1446,DRY1407,MI,SUBA,,A02,PRK OVR LGL LMT,FARMER'S MARKET,1,35.0,0.0,42.284,-83.7462
71,4090019535,822.0,2020-01-02,1449,DTG8630,MI,ACUR,,A02,PRK OVR LGL LMT,FARMER'S MARKET,71,35.0,0.0,42.284,-83.7462
72,4090019536,822.0,2020-01-02,1453,DVV7394,MI,CHEV,,A02,PRK OVR LGL LMT,FARMER'S MARKET,33,35.0,0.0,42.284,-83.7462
73,4090019537,822.0,2020-01-02,1454,NSTAHL,MI,BUIC,,A02,PRK OVR LGL LMT,FARMER'S MARKET,35,25.0,0.0,42.284,-83.7462
74,4090019538,822.0,2020-01-02,1455,EDL1868,MI,BMW,,A02,PRK OVR LGL LMT,FARMER'S MARKET,45,35.0,0.0,42.284,-83.7462
75,4090019539,822.0,2020-01-02,1457,CND6300,MI,VOLK,,A24,BACKED IN STALL,FARMER'S MARKET,78,25.0,0.0,42.284,-83.7462
76,4090019540,822.0,2020-01-02,1459,GG37V,MI,TOYO,,A01,EXPIRED METER,FARMER'S MARKET,42,15.0,0.0,42.284,-83.7462
77,4090019541,822.0,2020-01-02,1536,DMG2088,MI,LEXU,,A01,EXPIRED METER,200 BLK OF MAIN ST N,1308,15.0,0.0,42.282558,-83.748438
78,4090019542,822.0,2020-01-02,1538,MEEPPV,IL,JEEP,,A01,EXPIRED METER,100 BLK OF ANN EAST,1652,25.0,0.0,42.282345,-83.748449
79,4090019543,822.0,2020-01-02,1540,2MCU92,MI,NISS,,A01,EXPIRED METER,200 BLK OF ANN EAST,1679,15.0,0.0,42.282311,-83.747211
80,4090019544,822.0,2020-01-02,1541,DCD0022,MI,LINC,,A01,EXPIRED METER,200 BLK OF FOURTH AV,1455,25.0,0.0,42.282585,-83.747194
81,4090019545,822.0,2020-01-02,1544,EER8005,MI,JEEP,,A01,EXPIRED METER,100 BLK OF ANN EAST,1661,15.0,0.0,42.282345,-83.748449
82,4090019546,822.0,2020-01-02,1556,GXZ4126,OH,DODG,,A01,EXPIRED METER,FOURTH AND CATHERINE,6737,25.0,35.0,39.390897,-99.066067
83,4090019547,822.0,2020-01-02,1558,AYQ335,MI,ACUR,,A01,EXPIRED METER,300 BLK OF FOURTH AV,1513,25.0,0.0,42.281419,-83.748478
84,4090019548,822.0,2020-01-02,1559,2JUY58,MI,VOLK,,A01,EXPIRED METER,FARMER'S MARKET,69,25.0,35.0,42.284,-83.7462
85,4090019549,822.0,2020-01-02,1600,DA86614,MI,FORD,,A01,EXPIRED METER,FARMER'S MARKET,3,25.0,35.0,42.284,-83.7462
86,4090019550,822.0,2020-01-02,1601,DUK3391,MI,FORD,,A01,EXPIRED METER,FARMER'S MARKET,21,15.0,0.0,42.284,-83.7462
87,4090019551,822.0,2020-01-02,1603,DQN3429,MI,NISS,,A29,OTHER,FARMER'S MARKET,41,25.0,0.0,42.284,-83.7462
88,4090019552,822.0,2020-01-02,1604,313NTIQ,MI,MICO,,A24,BACKED IN STALL,FARMER'S MARKET,80,25.0,0.0,42.284,-83.7462
89,4090019553,822.0,2020-01-02,1607,ECG5753,MI,SUBA,,A01,EXPIRED METER,LOT 10,6610,25.0,0.0,,
90,4090019554,822.0,2020-01-02,1608,DDE0884,MI,HOND,,A01,EXPIRED METER,LOT 10,6623,15.0,0.0,,
91,4090019555,822.0,2020-01-02,1611,DUV7999,MI,LEXU,,A01,EXPIRED METER,400 BLK OF DETROIT S,1595,25.0,0.0,42.281419,-83.748478
92,4090019556,822.0,2020-01-02,1615,DDD0400,MI,HOND,,A01,EXPIRED METER,200 BLK OF FOURTH AV,1461,15.0,0.0,42.282585,-83.747194
93,4090019558,822.0,2020-01-02,1626,DFL0484,MI,CHEV,,A29,OTHER,200 BLK OF KINGSLEY,,35.0,20.0,42.281419,-83.748478
94,4090019559,822.0,2020-01-02,1630,DDC1973,MI,CHEV,,A01,EXPIRED METER,LOT 6,6305,15.0,0.0,,
95,4090019557,822.0,2020-01-02,1616,BGK2015,MI,HOND,,A01,EXPIRED METER,200 BLK OF FOURTH AV,1459,25.0,0.0,42.282585,-83.747194
96,4070021942,828.0,2020-01-02,1609,GQF4448,OH,VOLK,,A01,EXPIRED METER,500 BLK OF CHURCH,5620,25.0,0.0,42.276891,-83.734629
97,4070021941,828.0,2020-01-02,1556,CSA787,MI,VOLK,,A01,EXPIRED METER,200 BLK OF OBSERVATO,5331,15.0,0.0,42.281419,-83.748478
98,4070021940,828.0,2020-01-02,1546,CMC5531,MI,CHEV,,A01,EXPIRED METER,1300 BLK OF ANN EAST,5427,15.0,0.0,42.282311,-83.732365
99,4070021939,828.0,2020-01-02,1542,DXW9823,MI,SUBA,,A01,EXPIRED METER,100 BLK OF ZINA PITC,5304,25.0,35.0,42.281419,-83.748478
100,4070021938,828.0,2020-01-02,1540,HDN1106,PA,JEEP,,A01,EXPIRED METER,200 BLK OF ZINA PITC,5312,25.0,0.0,42.281419,-83.748478
101,4070021937,828.0,2020-01-02,1531,DMB4672,MI,FORD,,A01,EXPIRED METER,1200 BLK OF WASHTENA,5652,15.0,0.0,42.281419,-83.748478
102,4070021936,828.0,2020-01-02,1527,EAM5130,MI,NISS,,A29,OTHER,1200 BLK OF WASHT CT,5651,25.0,0.0,42.281419,-83.748478
103,4070021935,828.0,2020-01-02,1525,BGD464,MI,TOYO,,A29,OTHER,1200 BLK OF WASHT CT,5649,25.0,0.0,42.281419,-83.748478
104,4070021934,828.0,2020-01-02,1514,DZQ9194,MI,BUIC,,A01,EXPIRED METER,600 BLK OF FOREST SO,4790,15.0,0.0,42.321437,-83.769339
105,4070021933,828.0,2020-01-02,1456,CEX893,MI,TOYO,,A01,EXPIRED METER,600 BLK OF UNIVERSIT,4632,25.0,0.0,42.27117,-83.73577
106,4070021932,828.0,2020-01-02,1455,DWH2741,MI,SUBA,,A01,EXPIRED METER,600 BLK OF UNIVERSIT,4630,15.0,0.0,42.27117,-83.73577
107,4070021931,828.0,2020-01-02,1454,AEE225,MI,MERC,,A01,EXPIRED METER,600 BLK OF UNIVERSIT,4631,15.0,0.0,42.27117,-83.73577
